accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,hypothesis_label,n_pairs,n_pos_entail,fold
0.9826989619377162,0.847457627118644,0.7575757575757576,0.8,0.9826989619377162,0.9826989619377162,0.9826989619377162,0.8954792043399639,0.7909880407551624,0.045674740484429065,0.9837607401059179,0.8763523041357524,women,1445,66,0
0.9958563535911602,0.6,0.42857142857142855,0.5,0.9958563535911602,0.9958563535911602,0.9958563535911602,0.7489597780859917,0.49797758003004744,0.004834254143646409,0.9931595122434816,0.463515406162465,Christians,1448,7,1
0.9986187845303868,0.75,0.75,0.75,0.9986187845303868,0.9986187845303868,0.9986187845303868,0.8746537396121883,0.7493074792243768,0.0027624309392265192,0.9994806094182825,0.8928571428571428,Ethnic and racial minorities,1448,4,1
0.9979281767955801,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.9979281767955801,0.9979281767955801,0.9979281767955801,0.8840950932522212,0.768196371398079,0.004834254143646409,0.8786556954495885,0.8375477020076323,Jews,1448,7,1
0.9979281767955801,0.9333333333333333,0.875,0.9032258064516129,0.9979281767955801,0.9979281767955801,0.9979281767955801,0.9510893430163824,0.902179787425689,0.011049723756906077,0.9953299581005586,0.9114291277258567,LGBTQIA+,1448,16,1
0.9979281767955801,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.9979281767955801,0.9979281767955801,0.9979281767955801,0.8840950932522212,0.768196371398079,0.004834254143646409,0.9940517497769406,0.6459852793576446,Muslims,1448,7,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0027624309392265192,1.0,1.0,cisgender and heterosexuals,1448,4,1
0.9993093922651933,1.0,0.8571428571428571,0.9230769230769231,0.9993093922651933,0.9993093922651933,0.9993093922651933,0.9613650310840738,0.9227321237993596,0.004834254143646409,0.9991077624665411,0.9196428571428571,disabled people,1448,7,1
0.9910220994475138,0.8181818181818182,0.6666666666666666,0.7346938775510204,0.9910220994475138,0.9910220994475138,0.9910220994475138,0.8650638337526791,0.7301760220170861,0.018646408839779006,0.9770114942528735,0.832807513289831,men,1448,27,1
0.9979281767955801,0.0,0.0,0.0,0.9979281767955801,0.9979281767955801,0.9979281767955801,0.4994815070860698,0.0,0.0020718232044198894,0.9672433679354095,0.04916512059369202,multiple (or other) religious or minority groups,1448,3,1
0.9917127071823204,0.8809523809523809,0.8409090909090909,0.8604651162790697,0.9917127071823204,0.9917127071823204,0.9917127071823204,0.9280973268228089,0.8561970338983051,0.03038674033149171,0.9900770525770526,0.8900651268917077,"people with an immigration background, including immigrants",1448,44,1
0.9854972375690608,0.7894736842105263,0.9230769230769231,0.851063829787234,0.9854972375690608,0.9854972375690608,0.9854972375690608,0.9217206626250145,0.8434900765873343,0.04488950276243094,0.9956059847599977,0.8814327836159594,women,1448,65,1
0.9986187845303868,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9986187845303868,0.9986187845303868,0.9986187845303868,0.9282244473084167,0.8564488946168336,0.004834254143646409,0.999405174977694,0.9340659340659339,Christians,1448,7,2
