outlet;category;total_N;total_pct;1995_N;1995_pct;1996_N;1996_pct;1997_N;1997_pct;1998_N;1998_pct;1999_N;1999_pct;2000_N;2000_pct;2001_N;2001_pct;2002_N;2002_pct;2003_N;2003_pct;2004_N;2004_pct;2005_N;2005_pct;2006_N;2006_pct;2007_N;2007_pct;2008_N;2008_pct;2009_N;2009_pct;2010_N;2010_pct;2011_N;2011_pct;2012_N;2012_pct;2013_N;2013_pct;2014_N;2014_pct;2015_N;2015_pct;2016_N;2016_pct;2017_N;2017_pct;2018_N;2018_pct;2019_N;2019_pct;2020_N;2020_pct;2021_N;2021_pct;2022_N;2022_pct;2023_N;2023_pct;2024_N;2024_pct;2025_N;2025_pct
mediapart;age_and_family_status;29375;1.354;;;;;;;;;;;;;;;;;;;;;;;;;;;310.0;0.7354;399.0;0.7741;461.0;0.909;434.0;0.7831;385.0;0.7271;595.0;0.9203;758.0;0.6541;711;0.6074;975.0;0.7746;892;0.664;1659;1.0604;3606;1.6133;5130;2.0232;4787.0;1.9632;4188.0;1.6982;4085.0;1.739;;;;
mediapart;identities;31824;1.4669;;;;;;;;;;;;;;;;;;;;;;;;;;;312.0;0.7402;360.0;0.6984;342.0;0.6744;460.0;0.83;356.0;0.6723;671.0;1.0378;851.0;0.7344;2242;1.9154;1930.0;1.5333;1428;1.063;2223;1.4209;3495;1.5637;4709;1.8572;4274.0;1.7528;4126.0;1.6731;4045.0;1.7219;;;;
mediapart;labor_market_position;84949;3.9157;;;;;;;;;;;;;;;;;;;;;;;;;;;1974.0;4.6829;3613.0;7.0097;3008.0;5.9313;2267.0;4.0907;2965.0;5.5997;3088.0;4.7762;3643.0;3.1438;3618;3.091;4827.0;3.8348;5057;3.7643;5891;3.7655;7741;3.4634;10037;3.9585;9201.0;3.7735;8769.0;3.5558;9250.0;3.9377;;;;
mediapart;profession;174795;8.0571;;;;;;;;;;;;;;;;;;;;;;;;;;;2800.0;6.6425;3089.0;5.9931;3153.0;6.2172;3696.0;6.6692;3758.0;7.0974;6722.0;10.3969;10533.0;9.0897;9850;8.4152;9378.0;7.4504;10300;7.667;10184;6.5096;18578;8.3119;19921;7.8567;20153.0;8.2651;22530.0;9.1358;20150.0;8.5778;;;;
mediapart;real_estate_ownership;1690;0.0779;;;;;;;;;;;;;;;;;;;;;;;;;;;12.0;0.0285;26.0;0.0504;16.0;0.0315;32.0;0.0577;35.0;0.0661;35.0;0.0541;49.0;0.0423;26;0.0222;73.0;0.058;100;0.0744;167;0.1067;156;0.0698;178;0.0702;223.0;0.0915;248.0;0.1006;314.0;0.1337;;;;
mediapart;social_deviance;7200;0.3319;;;;;;;;;;;;;;;;;;;;;;;;;;;79.0;0.1874;76.0;0.1474;85.0;0.1676;146.0;0.2634;84.0;0.1586;202.0;0.3124;279.0;0.2408;477;0.4075;323.0;0.2566;355;0.2643;492;0.3145;838;0.3749;965;0.3806;962.0;0.3945;951.0;0.3856;886.0;0.3772;;;;
mediapart;social_roles_and_behavior;14516;0.6691;;;;;;;;;;;;;;;;;;;;;;;;;;;128.0;0.3037;129.0;0.2503;206.0;0.4062;249.0;0.4493;174.0;0.3286;317.0;0.4903;434.0;0.3745;319;0.2725;463.0;0.3678;541;0.4027;1059;0.6769;2095;0.9373;1749;0.6898;2139.0;0.8772;2449.0;0.9931;2065.0;0.8791;;;;
mediapart;socio_economic_position;22761;1.0492;;;;;;;;;;;;;;;;;;;;;;;;;;;676.0;1.6037;925.0;1.7946;953.0;1.8792;831.0;1.4995;948.0;1.7904;1210.0;1.8715;1255.0;1.083;1063;0.9082;1174.0;0.9327;1344;1.0004;1581;1.0106;1950;0.8724;2381;0.939;2141.0;0.8781;2205.0;0.8941;2124.0;0.9042;;;;
mondediplo;age_and_family_status;7976;1.0928;266.0;0.8759;256.0;0.8533;329.0;1.1789;221.0;0.8123;299.0;1.0593;306.0;1.139;345.0;1.3095;322.0;1.3036;281.0;1.0637;318.0;1.2924;209.0;0.9107;269.0;1.117;231.0;0.9399;231.0;0.8895;219.0;0.8715;237.0;1.0125;198.0;0.8566;214.0;0.9096;358.0;1.4782;282.0;1.1677;259;1.0224;234.0;0.9914;247;1.018;352;1.5272;312;1.3228;346;1.4546;271.0;1.1328;306.0;1.328;248.0;1.0584;10.0;0.4845;;
mondediplo;identities;9078;1.2438;370.0;1.2184;378.0;1.26;395.0;1.4154;358.0;1.3158;295.0;1.0452;293.0;1.0906;341.0;1.2944;396.0;1.6032;243.0;0.9198;411.0;1.6704;298.0;1.2985;365.0;1.5156;241.0;0.9806;325.0;1.2514;230.0;0.9152;209.0;0.8929;207.0;0.8956;303.0;1.2879;205.0;0.8465;265.0;1.0973;438;1.729;352.0;1.4913;432;1.7804;348;1.5098;264;1.1193;291;1.2234;230.0;0.9615;354.0;1.5363;213.0;0.9091;28.0;1.3566;;
