model,hypothesis_label,folds_count,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_binary_mean,precision_binary_std,precision_binary_min,precision_binary_max,recall_binary_mean,recall_binary_std,recall_binary_min,recall_binary_max,f1_binary_mean,f1_binary_std,f1_binary_min,f1_binary_max,precision_micro_mean,precision_micro_std,precision_micro_min,precision_micro_max,recall_micro_mean,recall_micro_std,recall_micro_min,recall_micro_max,f1_micro_mean,f1_micro_std,f1_micro_min,f1_micro_max,f1_macro_mean,f1_macro_std,f1_macro_min,f1_macro_max,cohen_kappa_mean,cohen_kappa_std,cohen_kappa_min,cohen_kappa_max,prevalence_mean,prevalence_std,prevalence_min,prevalence_max,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,pr_auc_mean,pr_auc_std,pr_auc_min,pr_auc_max
profession,teachers and educators,5,0.993520561,0.002732985,0.989208633,0.996409336,0.933846154,0.101701501,0.769230769,1,0.773076923,0.041691314,0.75,0.846153846,0.843672994,0.054503201,0.769230769,0.916666667,0.993520561,0.002732985,0.989208633,0.996409336,0.993520561,0.002732985,0.989208633,0.996409336,0.993520561,0.002732985,0.989208633,0.996409336,0.920182059,0.027934139,0.881852954,0.957415902,0.840395793,0.055876193,0.763705907,0.914844825,0.022309597,0.000963321,0.021466905,0.023381295,0.9963098,0.002805889,0.992992078,1,0.899667771,0.062044863,0.843845355,1
identities,Ethnic and racial minorities,5,0.986256481,0.005221282,0.98125,0.99382716,0.6,0.547722558,0,1,0.316666667,0.324893145,0,0.75,0.404761905,0.390505225,0,0.857142857,0.986256481,0.005221282,0.98125,0.99382716,0.986256481,0.005221282,0.98125,0.99382716,0.986256481,0.005221282,0.98125,0.99382716,0.698900611,0.196513457,0.495268139,0.926994142,0.402056707,0.388378373,0,0.854054054,0.02120558,0.00325722,0.01863354,0.02484472,0.969212884,0.057735147,0.866242038,0.997890295,0.789130094,0.216340523,0.417241379,0.916666667
identities,christians,5,0.976222668,0.010480733,0.961783439,0.98757764,0.87,0.185741756,0.6,1,0.542857143,0.119522861,0.428571429,0.714285714,0.666666667,0.139278608,0.5,0.833333333,0.976222668,0.010480733,0.961783439,0.98757764,0.976222668,0.010480733,0.961783439,0.98757764,0.976222668,0.010480733,0.961783439,0.98757764,0.827168469,0.072332286,0.740066225,0.91344086,0.655031467,0.144445627,0.480705623,0.827067669,0.043700477,0.000530573,0.043209877,0.044585987,0.978536916,0.027037607,0.933333333,1,0.81678609,0.155359383,0.651162244,1
identities,cisgender and heterosexuals,5,0.992467757,0.006876955,0.987261146,1,0.92,0.178885438,0.6,1,0.8,0.273861279,0.5,1,0.816666667,0.170782513,0.666666667,1,0.992467757,0.006876955,0.987261146,1,0.992467757,0.006876955,0.987261146,1,0.992467757,0.006876955,0.987261146,1,0.906409884,0.087105196,0.83014862,1,0.813190425,0.173854747,0.661016949,1,0.024932384,0.004157119,0.01910828,0.030864198,0.995725029,0.006713266,0.983974359,1,0.930952381,0.074058719,0.821428571,1
identities,disabled people,5,0.991264935,0.009406967,0.97515528,1,0.971428571,0.063887656,0.857142857,1,0.819047619,0.23364896,0.428571429,1,0.868251748,0.154643199,0.6,1,0.991264935,0.009406967,0.97515528,1,0.991264935,0.009406967,0.97515528,1,0.991264935,0.009406967,0.97515528,1,0.931866429,0.079741453,0.793589744,1,0.864169243,0.158575421,0.589285714,1,0.039934356,0.003133671,0.037267081,0.043478261,0.996841711,0.004082839,0.990723562,1,0.956277056,0.052249307,0.880952381,1
identities,jews,5,0.988740168,0.006898602,0.98089172,0.99378882,1,0,1,1,0.728571429,0.177855709,0.5,0.857142857,0.832634033,0.125684049,0.666666667,0.923076923,0.988740168,0.006898602,0.98089172,0.99378882,0.988740168,0.006898602,0.98089172,0.99378882,0.988740168,0.006898602,0.98089172,0.99378882,0.913401961,0.064595274,0.828415301,0.959920339,0.827187421,0.128677068,0.65795207,0.919860627,0.042426592,0.002361214,0.038216561,0.04375,0.931154613,0.099463631,0.759381898,1,0.854753297,0.1830665,0.54487038,1
identities,lgbtqqia+,5,0.962707578,0.017884869,0.944444444,0.987261146,0.823412698,0.07518768,0.75,0.928571429,0.752380952,0.211918138,0.5,1,0.773044484,0.127268906,0.636363636,0.928571429,0.962707578,0.017884869,0.944444444,0.987261146,0.962707578,0.017884869,0.944444444,0.987261146,0.962707578,0.017884869,0.944444444,0.987261146,0.876348004,0.06827327,0.804848485,0.960789211,0.753255402,0.135953697,0.611814346,0.921578422,0.089877758,0.002867034,0.086956522,0.093167702,0.967258098,0.031466411,0.920310982,0.998001998,0.835997842,0.125468274,0.703290479,0.984126984
identities,men,5,0.95012766,0.017927735,0.919254658,0.962732919,0.943626482,0.018872289,0.913043478,0.956521739,0.748148148,0.109243564,0.555555556,0.814814815,0.830963455,0.076390695,0.697674419,0.88,0.95012766,0.017927735,0.919254658,0.962732919,0.95012766,0.017927735,0.919254658,0.962732919,0.95012766,0.017927735,0.919254658,0.962732919,0.900840886,0.043227393,0.825539718,0.928970588,0.802554059,0.08502597,0.654563459,0.858108108,0.168558983,0.002046495,0.166666667,0.171974522,0.946548417,0.032406678,0.907960199,0.991168091,0.897416433,0.049934607,0.828770451,0.966635636
identities,multiple (or other specific) religious or minority groups,5,0.985068995,0.005465762,0.98136646,0.993630573,0.4,0.547722558,0,1,0.166666667,0.23570226,0,0.5,0.233333333,0.324893145,0,0.666666667,0.985068995,0.005465762,0.98136646,0.993630573,0.985068995,0.005465762,0.98136646,0.993630573,0.985068995,0.005465762,0.98136646,0.993630573,0.612896755,0.163788958,0.495297806,0.831725616,0.23181594,0.322971814,0,0.663811563,0.017454891,0.002637615,0.012738854,0.01875,0.893082676,0.089579254,0.744725738,0.974193548,0.455742917,0.249572739,0.053172115,0.695238095
identities,muslims,5,0.986272603,0.010267168,0.96875,0.99382716,0.946428571,0.073626886,0.857142857,1,0.738095238,0.272512456,0.285714286,1,0.795468975,0.200232442,0.444444444,0.933333333,0.986272603,0.010267168,0.96875,0.99382716,0.986272603,0.010267168,0.96875,0.99382716,0.986272603,0.010267168,0.96875,0.99382716,0.894178601,0.102724751,0.714183637,0.965048544,0.789415157,0.203248511,0.433427762,0.930112166,0.042426592,0.002361214,0.038216561,0.04375,0.966808783,0.040900287,0.902894491,1,0.892369135,0.102320089,0.749207375,1
